G1G48-3158-MONOMER	G1G48-3158		peptidoglycan-associated lipoprotein	
G1G48-4254-MONOMER	G1G48-4254	Q5LKU7	malonyl-CoA synthase	
G1G48-1705-MONOMER	G1G48-1705	Q5LSU1	lipid-A-disaccharide synthase	
G1G48-2164-MONOMER	G1G48-2164	Q5LRK1	phospholipase	
G1G48-1059-MONOMER	G1G48-1059	Q5LUK6	hypothetical protein	
G1G48-1090-MONOMER	G1G48-1090	Q5LUI3	glutamine amidotransferase	
G1G48-2532-MONOMER	G1G48-2532	Q5LQJ9	outer membrane protein assembly factor BamE	
G1G48-363-MONOMER	G1G48-363	Q5LXD4	hypothetical protein	
G1G48-868-MONOMER	G1G48-868	Q5LV44	cytochrome-c peroxidase	
G1G48-4061-MONOMER	G1G48-4061	Q5LLD3	hypothetical protein	
G1G48-3024-MONOMER	G1G48-3024	Q5LP74	metal-dependent hydrolase	
G1G48-1561-MONOMER	G1G48-1561		hypothetical protein	
G1G48-1410-MONOMER	G1G48-1410		hypothetical protein	
G1G48-900-MONOMER	G1G48-900	Q5LV12	acetyltransferase	
G1G48-1387-MONOMER	G1G48-1387		sodium/glutamate symporter	
G1G48-4306-MONOMER	G1G48-4306	Q5LKQ2	methylglyoxal synthase	
G1G48-1343-MONOMER	G1G48-1343	Q5LTU8	nitrile hydratase subunit alpha	
G1G48-1580-MONOMER	G1G48-1580		glycine/betaine ABC transporter substrate-binding protein	
G1G48-3204-MONOMER	G1G48-3204	Q5LNP9	bifunctional riboflavin kinase/FMN adenylyltransferase	
G1G48-1986-MONOMER	G1G48-1986	Q5LS22	phosphonate ABC transporter substrate-binding protein	
G1G48-3538-MONOMER	G1G48-3538	Q5LMS8	heat-shock protein IbpA	
G1G48-596-MONOMER	G1G48-596		reductive dehalogenase	
G1G48-2458-MONOMER	G1G48-2458	Q5LQS3	phytanoyl-CoA dioxygenase	
G1G48-372-MONOMER	G1G48-372	Q5LXE3	hypothetical protein	
G1G48-4165-MONOMER	G1G48-4165	Q5LL34	hypothetical protein	
G1G48-2741-MONOMER	G1G48-2741	Q5LQ01	peptide chain release factor 3	
G1G48-4035-MONOMER	G1G48-4035	Q5LLE9	septum formation inhibitor Maf	
G1G48-837-MONOMER	G1G48-837		hypothetical protein	
G1G48-2848-MONOMER	G1G48-2848		hypothetical protein	
G1G48-3954-MONOMER	G1G48-3954	Q5LLN0	septum formation inhibitor Maf	
G1G48-814-MONOMER	G1G48-814	Q5LV98	integration host factor subunit beta	
G1G48-234-MONOMER	G1G48-234	Q5LX29	30S ribosomal protein S21	
G1G48-1722-MONOMER	G1G48-1722	Q5LSS3	hypothetical protein	
G1G48-941-MONOMER	G1G48-941	Q5LUW9	hypothetical protein	
G1G48-3530-MONOMER	G1G48-3530	Q5LMT6	hypothetical protein	
G1G48-1681-MONOMER	G1G48-1681	Q5LSW5	pyridine nucleotide-disulfide oxidoreductase	
G1G48-2813-MONOMER	G1G48-2813	Q5LPT6	NADH-quinone oxidoreductase subunit N	
G1G48-1638-MONOMER	G1G48-1638	Q5LT08	putrescine/spermidine ABC transporter substrate-binding protein	
G1G48-1440-MONOMER	G1G48-1440	Q5LTK6	ribosomal large subunit pseudouridine synthase D	
G1G48-1558-MONOMER	G1G48-1558	Q5LT87	VTC domain-containing protein	
G1G48-3943-MONOMER	G1G48-3943	Q5LLP1	twin-arginine translocation pathway signal protein	
G1G48-3272-MONOMER	G1G48-3272	Q5LNI2	glutathione-dependent reductase	
G1G48-2170-MONOMER	G1G48-2170	Q5LRJ5	aspartate aminotransferase	
G1G48-4376-MONOMER	G1G48-4376	Q5LKI3	R body protein RebB	
G1G48-1551-MONOMER	G1G48-1551	Q5LT94	carbon monoxide dehydrogenase	
G1G48-686-MONOMER	G1G48-686		taurine ABC transporter permease	
G1G48-3406-MONOMER	G1G48-3406	Q5LN58	phosphoserine aminotransferase	
G1G48-3179-MONOMER	G1G48-3179	Q5LNS4	tyrosine recombinase XerC	
G1G48-786-MONOMER	G1G48-786	Q5LVC6	thioesterase	
G1G48-1565-MONOMER	G1G48-1565	Q5LT81	glycosyl transferase	
G1G48-4418-MONOMER	G1G48-4418	Q5LKE0	hypothetical protein	
G1G48-756-MONOMER	G1G48-756		hypothetical protein	
G1G48-3685-MONOMER	G1G48-3685	Q5LMD5	16S rRNA (uracil(1498)-N(3))-methyltransferase	
G1G48-2748-MONOMER	G1G48-2748	Q5LPZ4	ABC transporter ATP-binding protein	
G1G48-2274-MONOMER	G1G48-2274	Q5LR94	phosphoglycerate kinase	
G1G48-1411-MONOMER	G1G48-1411		prephenate dehydrogenase	
G1G48-2443-MONOMER	G1G48-2443		type I secretion target repeat-containing protein	
G1G48-1891-MONOMER	G1G48-1891	Q5LSB4	hypothetical protein	
G1G48-279-MONOMER	G1G48-279		hypothetical protein	
G1G48-4140-MONOMER	G1G48-4140	Q5LL58	sulfurase	
G1G48-2300-MONOMER	G1G48-2300	Q5LR68	peptidase U35	
G1G48-1887-MONOMER	G1G48-1887	Q5LSB8	branched-chain amino acid ABC transporter permease	
CPLX1G48-8			predicted ABC transporter of spermidine/putrescine	
G1G48-4177-MONOMER	G1G48-4177	Q5LL23	Crp/Fnr family transcriptional regulator	
G1G48-1086-MONOMER	G1G48-1086		hypothetical protein	
G1G48-2505-MONOMER	G1G48-2505		hypothetical protein	
G1G48-3677-MONOMER	G1G48-3677	Q5LME2	GntR family transcriptional regulator	
G1G48-3867-MONOMER	G1G48-3867	Q5LLW4	hypothetical protein	
G1G48-3363-MONOMER	G1G48-3363	Q5LN99	XRE family transcriptional regulator	
G1G48-947-MONOMER	G1G48-947	Q5LUW2	hypothetical protein	
G1G48-1163-MONOMER	G1G48-1163	Q5LUB1	ectoine utilization protein EutA	
G1G48-3633-MONOMER	G1G48-3633	Q5LMI6	transcriptional regulator	
G1G48-473-MONOMER	G1G48-473	Q5LW75	phosphonate metabolism transcriptional regulator PhnF	
G1G48-139-MONOMER	G1G48-139	Q5LWT1	membrane protein	
CPLX1G48-11			predicted ABC transporter of a polyamine	
G1G48-1115-MONOMER	G1G48-1115	Q5LUF9	hypothetical protein	
G1G48-647-MONOMER	G1G48-647		EF hand domain-containing protein	
G1G48-3130-MONOMER	G1G48-3130	Q5LNX2	glyoxalase	
G1G48-747-MONOMER	G1G48-747	Q5LVG5	C4-dicarboxylate ABC transporter permease	
G1G48-446-MONOMER	G1G48-446		hypothetical protein	
G1G48-884-MONOMER	G1G48-884	Q5LV28	uracil permease	
G1G48-1512-MONOMER	G1G48-1512	Q5LTD3	DUF1365 domain-containing protein	
G1G48-160-MONOMER	G1G48-160	Q5LWU7	Fis family transcriptional regulator	
G1G48-4204-MONOMER	G1G48-4204	Q5LKZ6	glycine/betaine ABC transporter permease	
G1G48-2740-MONOMER	G1G48-2740	Q5LQ02	cytochrome c'	
G1G48-2115-MONOMER	G1G48-2115	Q5LRP8	twin-arginine translocation pathway signal sequence domain-containing protein	
G1G48-3354-MONOMER	G1G48-3354	Q5LNA8	Zn-dependent hydrolase	
G1G48-2421-MONOMER	G1G48-2421	Q5LQV5	acyl-CoA dehydrogenase	
G1G48-4307-MONOMER	G1G48-4307	Q5LKQ1	ketohydroxyglutarate aldolase	
G1G48-1376-MONOMER	G1G48-1376		hypothetical protein	
CPLX1G48-29			predicted ABC transporter of a peptide	
G1G48-1789-MONOMER	G1G48-1789	Q5LSL4	transcriptional regulator NrdR	
G1G48-2720-MONOMER	G1G48-2720	Q5LQ22	DNA repair protein RadA	
G1G48-3753-MONOMER	G1G48-3753		feruloyl-CoA synthetase	
G1G48-191-MONOMER	G1G48-191	Q5LWY3	DNA-binding response regulator	
G1G48-1904-MONOMER	G1G48-1904	Q5LSA0	monothiol glutaredoxin, Grx4 family	
G1G48-3096-MONOMER	G1G48-3096	Q5LP06	ABC transporter ATP-binding protein	
G1G48-1931-MONOMER	G1G48-1931	Q5LS73	cytochrome C biogenesis protein CcdA	
G1G48-3283-MONOMER	G1G48-3283	Q5LNH2	ATP synthase subunit B	
G1G48-1316-MONOMER	G1G48-1316		hypothetical protein	
G1G48-3107-MONOMER	G1G48-3107	Q5LNZ4	sodium-independent anion transporter	
G1G48-2864-MONOMER	G1G48-2864		peptide ABC transporter	
G1G48-3803-MONOMER	G1G48-3803		DNA-binding protein	
G1G48-1689-MONOMER	G1G48-1689	Q5LSV8	peptide ABC transporter permease	
G1G48-1033-MONOMER	G1G48-1033	Q5LUM9	hypothetical protein	
G1G48-2285-MONOMER	G1G48-2285	Q5LR82	serine O-acetyltransferase	
G1G48-3174-MONOMER	G1G48-3174		lipoprotein	
G1G48-2852-MONOMER	G1G48-2852	Q5LPP6	ABC transporter substrate-binding protein	
G1G48-913-MONOMER	G1G48-913	Q5LUZ9	thioredoxin-disulfide reductase	
G1G48-1783-MONOMER	G1G48-1783		sarcosine oxidase subunit gamma	
G1G48-642-MONOMER	G1G48-642		hypothetical protein	
G1G48-4020-MONOMER	G1G48-4020	Q5LLG4	FAD-dependent oxidoreductase	
G1G48-3441-MONOMER	G1G48-3441	Q5LN23	polyribonucleotide nucleotidyltransferase	
G1G48-864-MONOMER	G1G48-864	Q5LV48	glycoside hydrolase	
G1G48-3716-MONOMER	G1G48-3716	Q5LMA4	LamB/YcsF family protein	
G1G48-2615-MONOMER	G1G48-2615	Q5LQC2	extradiol dioxygenase	
G1G48-720-MONOMER	G1G48-720	Q5LVJ1	DNA-binding response regulator	
G1G48-10-MONOMER	G1G48-10	Q5LWF4	nucleotide exchange factor GrpE	
G1G48-904-MONOMER	G1G48-904		hypothetical protein	
G1G48-3543-MONOMER	G1G48-3543	Q5LMS3	phenylalanine--tRNA ligase subunit beta	
G1G48-63-MONOMER	G1G48-63	Q5LWL3	hypothetical protein	
G1G48-2165-MONOMER	G1G48-2165	Q5LRK0	3-methyladenine DNA glycosylase	
G1G48-2500-MONOMER	G1G48-2500	Q5LQN1	4-hydroxythreonine-4-phosphate dehydrogenase	
G1G48-3463-MONOMER	G1G48-3463	Q5LN01	gamma-glutamyltransferase	
G1G48-384-MONOMER	G1G48-384	Q5LXG4	ABC transporter permease	
G1G48-345-MONOMER	G1G48-345	Q5LXD3	ABC transporter permease	
G1G48-4089-MONOMER	G1G48-4089	Q5LLA8	hypothetical protein	
G1G48-1964-MONOMER	G1G48-1964	Q5LS44	DNA-binding protein	
G1G48-1543-MONOMER	G1G48-1543	Q5LTA2	hypothetical protein	
G1G48-3371-MONOMER	G1G48-3371	Q5LN92	hypothetical protein	
G1G48-1601-MONOMER	G1G48-1601	Q5LT45	succinate--CoA ligase subunit alpha	
G1G48-2407-MONOMER	G1G48-2407	Q5LQW6	arginine ABC transporter ATP-binding protein	
G1G48-2432-MONOMER	G1G48-2432		integrase	
G1G48-1853-MONOMER	G1G48-1853		C4-dicarboxylate ABC transporter permease	
G1G48-3960-MONOMER	G1G48-3960	Q5LLM0	tRNA (N6-isopentenyl adenosine(37)-C2)-methylthiotransferase MiaB	
G1G48-2033-MONOMER	G1G48-2033		hypothetical protein	
G1G48-1219-MONOMER	G1G48-1219		hypothetical protein	
G1G48-3405-MONOMER	G1G48-3405		phosphoserine phosphatase SerB	
G1G48-3669-MONOMER	G1G48-3669	Q5LMF1	AsnC family transcriptional regulator	
G1G48-56-MONOMER	G1G48-56	Q5LWK2	cell envelope biogenesis protein OmpA	
G1G48-1807-MONOMER	G1G48-1807	Q5LSJ7	C4-dicarboxylate ABC transporter permease	
G1G48-1100-MONOMER	G1G48-1100		hypothetical protein	
G1G48-2383-MONOMER	G1G48-2383	Q5LQY8	sarcosine oxidase subunit gamma	
G1G48-2911-MONOMER	G1G48-2911	Q5LPI6	cobalamin biosynthesis protein CobW	
G1G48-1451-MONOMER	G1G48-1451	Q5LTJ5	ferredoxin	
G1G48-4365-MONOMER	G1G48-4365	Q5LKJ4	LysR family transcriptional regulator	
G1G48-194-MONOMER	G1G48-194	Q5LWY0	choline dehydrogenase	
G1G48-149-MONOMER	G1G48-149		bifunctional demethylmenaquinone methyltransferase/2-methoxy-6-polyprenyl-1,4-benzoquinol methylase	
G1G48-4308-MONOMER	G1G48-4308	Q5LKQ0	2-dehydro-3-deoxygluconokinase	
G1G48-1731-MONOMER	G1G48-1731	Q5LSR4	hypothetical protein	
G1G48-1497-MONOMER	G1G48-1497	Q5LTE8	opine dehydrogenase	
G1G48-3142-MONOMER	G1G48-3142	Q5LNW1	pilus assembly protein TadC	
G1G48-401-MONOMER	G1G48-401	Q5LWE8	membrane protein	
G1G48-1333-MONOMER	G1G48-1333	Q5LTV7	ABC transporter permease	
G1G48-2117-MONOMER	G1G48-2117	Q5LRP6	sodium:proton antiporter	
G1G48-169-MONOMER	G1G48-169	Q5LWV6	pyrroline-5-carboxylate reductase	
G1G48-2204-MONOMER	G1G48-2204	Q5LRG2	hypothetical protein	
G1G48-741-MONOMER	G1G48-741	Q5LVH1	DeoR family transcriptional regulator	
G1G48-1858-MONOMER	G1G48-1858		sugar ABC transporter permease	
G1G48-3449-MONOMER	G1G48-3449	Q5LN15	AraC family transcriptional regulator	
G1G48-1082-MONOMER	G1G48-1082	Q5LUJ1	hypothetical protein	
G1G48-2721-MONOMER	G1G48-2721	Q5LQ21	colicin V production protein CvpA	
G1G48-335-MONOMER	G1G48-335	Q5LXA6	hypothetical protein	
G1G48-4271-MONOMER	G1G48-4271	Q5LKT0	branched-chain amino acid ABC transporter permease	
G1G48-1412-MONOMER	G1G48-1412	Q5LTN3	hypothetical protein	
G1G48-585-MONOMER	G1G48-585	Q5LVW7	acetyl-CoA carboxylase carboxyltransferase subunit	
G1G48-37-MONOMER	G1G48-37	Q5LWI3	hypothetical protein	
G1G48-1276-MONOMER	G1G48-1276		hypothetical protein	
G1G48-3311-MONOMER	G1G48-3311		glutathione S-transferase	
G1G48-2186-MONOMER	G1G48-2186	Q5LRI0	hypothetical protein	
G1G48-575-MONOMER	G1G48-575	Q5LVX7	MFS transporter	
G1G48-1473-MONOMER	G1G48-1473	Q5LTH2	membrane protein	
G1G48-4192-MONOMER	G1G48-4192	Q5LL08	uroporphyrinogen-III C-methyltransferase	
G1G48-3079-MONOMER	G1G48-3079	Q5LP23	aminotransferase class V-fold PLP-dependent enzyme	
G1G48-3585-MONOMER	G1G48-3585	Q5LMN3	LysR family transcriptional regulator	
G1G48-220-MONOMER	G1G48-220	Q5LX06	3-isopropylmalate dehydratase large subunit	
G1G48-895-MONOMER	G1G48-895		hypothetical protein	
G1G48-97-MONOMER	G1G48-97	Q5LWQ1	EamA family transporter	
G1G48-2188-MONOMER	G1G48-2188	Q5LRH8	anthranilate phosphoribosyltransferase	
G1G48-3167-MONOMER	G1G48-3167	Q5LNT6	crossover junction endodeoxyribonuclease RuvC	
G1G48-484-MONOMER	G1G48-484	Q5LW64	hypothetical protein	
G1G48-1600-MONOMER	G1G48-1600	Q5LT46	malate--CoA ligase subunit beta	
G1G48-1274-MONOMER	G1G48-1274		hypothetical protein	
G1G48-3521-MONOMER	G1G48-3521		putrescine/spermidine ABC transporter permease	
G1G48-3123-MONOMER	G1G48-3123	Q5LNX9	cytochrome c oxidase assembly protein	
G1G48-1040-MONOMER	G1G48-1040		hypothetical protein	
G1G48-3921-MONOMER	G1G48-3921		hypothetical protein	
G1G48-47-MONOMER	G1G48-47	Q5LWJ2	thiamine biosynthesis protein ThiS	
G1G48-1958-MONOMER	G1G48-1958	Q5LS47	Ala-tRNA(Pro) hydrolase	
G1G48-2032-MONOMER	G1G48-2032	Q5LRX6	ABC transporter ATP-binding protein/permease	
G1G48-70-MONOMER	G1G48-70	Q5LWM4	amidohydrolase	
G1G48-3425-MONOMER	G1G48-3425	Q5LN39	signal peptidase II	
G1G48-1306-MONOMER	G1G48-1306	Q5LTY2	hypothetical protein	
G1G48-1673-MONOMER	G1G48-1673		serine hydrolase	
G1G48-3971-MONOMER	G1G48-3971	Q5LLK9	hypothetical protein	
G1G48-1952-MONOMER	G1G48-1952		deoxyribodipyrimidine photo-lyase	
G1G48-447-MONOMER	G1G48-447	Q5LWA2	acyl-CoA thioesterase	
G1G48-2548-MONOMER	G1G48-2548	Q5LQI4	iron-sulfur cluster assembly accessory protein	
G1G48-353-MONOMER	G1G48-353	Q5LXC5	succinate--CoA ligase subunit alpha	
G1G48-3359-MONOMER	G1G48-3359	Q5LNA3	saccharopine dehydrogenase	
G1G48-303-MONOMER	G1G48-303	Q5LX82	acyl-CoA dehydrogenase	
G1G48-2474-MONOMER	G1G48-2474	Q5LQQ7	C4-dicarboxylate ABC transporter permease	
G1G48-3408-MONOMER	G1G48-3408	Q5LN56	hypothetical protein	
G1G48-1683-MONOMER	G1G48-1683		hypothetical protein	
G1G48-2457-MONOMER	G1G48-2457	Q5LQS4	mandelate racemase	
G1G48-3074-MONOMER	G1G48-3074	Q5LP28	adenylate cyclase	
G1G48-3745-MONOMER	G1G48-3745	Q5LM76	3,4-dihydroxyphenylacetate 2,3-dioxygenase	
G1G48-3276-MONOMER	G1G48-3276	Q5LNH9	lytic transglycosylase	
G1G48-2366-MONOMER	G1G48-2366	Q5LR03	PQQ repeat-containing protein	
G1G48-1749-MONOMER	G1G48-1749	Q5LSQ0	urease accessory protein UreF	
G1G48-4127-MONOMER	G1G48-4127	Q5LL71	hypothetical protein	
G1G48-1741-MONOMER	G1G48-1741	Q5LSQ8	urea ABC transporter permease subunit UrtC	
G1G48-2676-MONOMER	G1G48-2676	Q5LQ65	ArsR family transcriptional regulator	
G1G48-4410-MONOMER	G1G48-4410	Q5LKE8	esterase	
G1G48-4309-MONOMER	G1G48-4309	Q5LKP9	dihydroxy-acid dehydratase	
G1G48-2793-MONOMER	G1G48-2793	Q5LPV6	phosphoribosyl 1,2-cyclic phosphodiesterase	
G1G48-2536-MONOMER	G1G48-2536	Q5LQJ5	3-oxoacyl-ACP synthase III	
G1G48-3840-MONOMER	G1G48-3840	Q5LLY5	LPS export ABC transporter permease LptF	
G1G48-4104-MONOMER	G1G48-4104	Q5LL93	oxidoreductase	
G1G48-3101-MONOMER	G1G48-3101	Q5LP00	hypothetical protein	
G1G48-3001-MONOMER	G1G48-3001	Q5LP95	metallophosphoesterase	
G1G48-1548-MONOMER	G1G48-1548	Q5LT97	carbon monoxide dehydrogenase	
G1G48-2642-MONOMER	G1G48-2642	Q5LQ96	hypothetical protein	
G1G48-3761-MONOMER	G1G48-3761	Q5LM60	transcriptional regulator	
G1G48-3270-MONOMER	G1G48-3270	Q5LNI4	aminotransferase classes I and II	
G1G48-1246-MONOMER	G1G48-1246	Q5LU35	DUF932 domain-containing protein	
G1G48-3302-MONOMER	G1G48-3302	Q5LNF3	chorismate mutase	
G1G48-1608-MONOMER	G1G48-1608	Q5LT38	glutamine amidotransferase	
G1G48-4255-MONOMER	G1G48-4255	Q5LKU6	choline dehydrogenase	
G1G48-3433-MONOMER	G1G48-3433	Q5LN31	phosphodiesterase	
G1G48-1359-MONOMER	G1G48-1359	Q5LTT2	protease modulator HflC	
G1G48-1075-MONOMER	G1G48-1075	Q5LUJ8	NmrA family transcriptional regulator	
G1G48-1020-MONOMER	G1G48-1020	Q5LUP2	acetyl-CoA carboxylase, biotin carboxyl carrier protein	
G1G48-1508-MONOMER	G1G48-1508	Q5LTD7	3-isopropylmalate dehydratase small subunit	
G1G48-2935-MONOMER	G1G48-2935	Q5LPG2	CoA transferase	
G1G48-2211-MONOMER	G1G48-2211	Q5LRF6	two-component sensor histidine kinase	
G1G48-3614-MONOMER	G1G48-3614		(Fe-S)-binding protein	
G1G48-4200-MONOMER	G1G48-4200		hypothetical protein	
CPLX1G48-52			predicted ABC transporter of a C4-dicarboxylate	
G1G48-2641-MONOMER	G1G48-2641	Q5LQ97	5-aminolevulinic acid synthase	
G1G48-557-MONOMER	G1G48-557	Q5LVZ4	hypothetical protein	
G1G48-2712-MONOMER	G1G48-2712		polar amino acid ABC transporter permease	
G1G48-2757-MONOMER	G1G48-2757	Q5LPY5	cag pathogenicity island protein Cag11	
G1G48-4240-MONOMER	G1G48-4240	Q5LKW0	hypothetical protein	
G1G48-3764-MONOMER	G1G48-3764	Q5LM57	ABC transporter ATP-binding protein	
G1G48-3836-MONOMER	G1G48-3836	Q5LLY9	ABC transporter permease	
G1G48-3480-MONOMER	G1G48-3480	Q5LMY4	hypothetical protein	
G1G48-3121-MONOMER	G1G48-3121	Q5LNY1	hypothetical protein	
G1G48-1500-MONOMER	G1G48-1500	Q5LTE5	3-ketosteroid dehydrogenase	
G1G48-3112-MONOMER	G1G48-3112	Q5LNZ1	membrane protein	
CPLX1G48-41			predicted ABC transporter of a C4-dicarboxylate	
G1G48-3853-MONOMER	G1G48-3853	Q5LLX2	acetoin catabolism protein X	
G1G48-3992-MONOMER	G1G48-3992	Q5LLL5	hypothetical protein	
G1G48-2202-MONOMER	G1G48-2202	Q5LRG4	transcriptional regulator	
G1G48-4224-MONOMER	G1G48-4224	Q5LKX6	ribose ABC transporter substrate-binding protein	
G1G48-2076-MONOMER	G1G48-2076	Q5LRT6	MBL fold metallo-hydrolase	
G1G48-3894-MONOMER	G1G48-3894	Q5LLT7	4-hydroxy-tetrahydrodipicolinate reductase	
G1G48-3012-MONOMER	G1G48-3012		hypothetical protein	
G1G48-2986-MONOMER	G1G48-2986	Q5LPB0	amidase	
G1G48-3152-MONOMER	G1G48-3152	Q5LNV1	chorismate mutase	
G1G48-2590-MONOMER	G1G48-2590	Q5LQE3	C4-dicarboxylate ABC transporter permease	
G1G48-299-MONOMER	G1G48-299	Q5LX86	NUDIX hydrolase	
G1G48-4062-MONOMER	G1G48-4062		hypothetical protein	
G1G48-3651-MONOMER	G1G48-3651		AraC family transcriptional regulator	
G1G48-2912-MONOMER	G1G48-2912	Q5LPI5	cobaltochelatase subunit CobN	
G1G48-803-MONOMER	G1G48-803	Q5LVA9	Cu(I)-responsive transcriptional regulator	
G1G48-1055-MONOMER	G1G48-1055		hypothetical protein	
G1G48-3556-MONOMER	G1G48-3556	Q5LMR2	30S ribosomal protein S12	
G1G48-1110-MONOMER	G1G48-1110	Q5LUG3	hypothetical protein	
G1G48-2878-MONOMER	G1G48-2878	Q5LPM0	type I secretion target repeat-containing protein	
G1G48-427-MONOMER	G1G48-427	Q5LWC2	rod shape-determining protein	
G1G48-3484-MONOMER	G1G48-3484	Q5LMY0	leucine--tRNA ligase	
G1G48-114-MONOMER	G1G48-114	Q5LWR9	enoyl-[acyl-carrier-protein] reductase	
G1G48-4005-MONOMER	G1G48-4005	Q5LLH9	hypothetical protein	
G1G48-3846-MONOMER	G1G48-3846	Q5LLX9	sugar ABC transporter permease	
G1G48-2805-MONOMER	G1G48-2805		hypothetical protein	
G1G48-3826-MONOMER	G1G48-3826	Q3V7J1	monofunctional biosynthetic peptidoglycan transglycosylase	
G1G48-3165-MONOMER	G1G48-3165	Q5LNT8	Holliday junction branch migration DNA helicase RuvB	
G1G48-1458-MONOMER	G1G48-1458	Q5LTI8	4-hydroxyphenylpyruvate dioxygenase	
G1G48-408-MONOMER	G1G48-408	Q5LWE1	glutathione synthase	
G1G48-496-MONOMER	G1G48-496	Q5LW53	hypothetical protein	
G1G48-4377-MONOMER	G1G48-4377	Q5LKI2	R body protein RebB	
G1G48-3380-MONOMER	G1G48-3380		NAD-dependent succinate-semialdehyde dehydrogenase	GabD
G1G48-3804-MONOMER	G1G48-3804	Q5LM19	AMP nucleosidase	
G1G48-4310-MONOMER	G1G48-4310		C4-dicarboxylate ABC transporter permease	
G1G48-4021-MONOMER	G1G48-4021	Q5LLG3	N(G),N(G)-dimethylarginine dimethylaminohydrolase	
G1G48-752-MONOMER	G1G48-752	Q5LVG0	phenylacetate-CoA ligase	
G1G48-3593-MONOMER	G1G48-3593	Q5LMM5	cytochrome c	
G1G48-1374-MONOMER	G1G48-1374	Q5LTR8	phosphoribosylamine--glycine ligase	
G1G48-3607-MONOMER	G1G48-3607	Q5LML2	N-acetyltransferase	
G1G48-3955-MONOMER	G1G48-3955		membrane protein	
G1G48-1463-MONOMER	G1G48-1463	Q5LTI2	rhodanese	
G1G48-3918-MONOMER	G1G48-3918	Q5LLR4	ubiquinol-cytochrome c reductase	
G1G48-2058-MONOMER	G1G48-2058	Q5LRV3	FkbM family methyltransferase	
G1G48-2103-MONOMER	G1G48-2103	Q5LRR0	3-hydroxybutyrate dehydrogenase	
G1G48-3226-MONOMER	G1G48-3226	Q5LNM7	cyclohexadienyl dehydrogenase	
G1G48-1557-MONOMER	G1G48-1557	Q5LT88	membrane protein	
G1G48-882-MONOMER	G1G48-882	Q5LV30	polysaccharide deacetylase	
G1G48-1450-MONOMER	G1G48-1450	Q5LTJ6	RNA-binding protein S4	
G1G48-858-MONOMER	G1G48-858	Q5LV54	glycosyl transferase	
G1G48-770-MONOMER	G1G48-770	Q5LVE2	carboxymuconolactone decarboxylase family protein	
G1G48-3197-MONOMER	G1G48-3197	Q5LNQ6	manganese-dependent inorganic pyrophosphatase	
G1G48-1621-MONOMER	G1G48-1621	Q5LT25	gamma-carboxymuconolactone decarboxylase	
G1G48-3514-MONOMER	G1G48-3514	Q5LMV2	flagellar protein FlgN	
G1G48-2313-MONOMER	G1G48-2313	Q5LR55	malonyl CoA-acyl carrier protein transacylase	
G1G48-293-MONOMER	G1G48-293	Q5LX74	uracil-DNA glycosylase	
G1G48-72-MONOMER	G1G48-72	Q5LWM2	competence protein ComF	
G1G48-1723-MONOMER	G1G48-1723		hypothetical protein	
G1G48-4178-MONOMER	G1G48-4178	Q5LL22	guanylate cyclase	
G1G48-1811-MONOMER	G1G48-1811		cupin	
G1G48-2075-MONOMER	G1G48-2075	Q5LRT7	SAM-dependent methyltransferase	
G1G48-2408-MONOMER	G1G48-2408	Q5LQW5	Na/Pi cotransporter	
G1G48-569-MONOMER	G1G48-569	Q5LVY3	hypothetical protein	
G1G48-3560-MONOMER	G1G48-3560		MFS transporter	
G1G48-4148-MONOMER	G1G48-4148	Q5LL50	DNA-binding transcriptional regulator OxyR	
G1G48-2241-MONOMER	G1G48-2241	Q5LRC6	methylmalonate-semialdehyde dehydrogenase (CoA acylating)	
G1G48-716-MONOMER	G1G48-716	Q5LVJ5	peptide ABC transporter substrate-binding protein	
G1G48-2826-MONOMER	G1G48-2826	Q5LPS3	hypothetical protein	
G1G48-3266-MONOMER	G1G48-3266	Q5LNI8	methionyl-tRNA formyltransferase	
G1G48-474-MONOMER	G1G48-474	Q5LW74	phosphonate C-P lyase system protein PhnG	
G1G48-1574-MONOMER	G1G48-1574	Q5LT72	peptidase M19	
G1G48-43-MONOMER	G1G48-43	Q5LWJ6	molecular chaperone DnaK	
G1G48-1302-MONOMER	G1G48-1302		hypothetical protein	
G1G48-1905-MONOMER	G1G48-1905	Q5LS99	BolA family transcriptional regulator	
G1G48-1845-MONOMER	G1G48-1845		hypothetical protein	
G1G48-2052-MONOMER	G1G48-2052	Q5LRV9	cysteine desulfurase	
G1G48-1198-MONOMER	G1G48-1198	Q5LU79	ribosomal RNA small subunit methyltransferase H	
G1G48-3934-MONOMER	G1G48-3934	Q5LLP9	double-strand break repair helicase AddA	
G1G48-2854-MONOMER	G1G48-2854	Q5LPP4	ABC transporter permease	
G1G48-3312-MONOMER	G1G48-3312	Q5LNE3	MarR family transcriptional regulator	
G1G48-2833-MONOMER	G1G48-2833	Q5LPR5	NADH-quinone oxidoreductase subunit C	
G1G48-2-MONOMER	G1G48-2	Q5LWF2	16S rRNA methyltransferase	
G1G48-1513-MONOMER	G1G48-1513	Q5LTD2	cyclopropane-fatty-acyl-phospholipid synthase	
G1G48-281-MONOMER	G1G48-281	Q5LX68	LuxR family transcriptional regulator	
G1G48-727-MONOMER	G1G48-727	Q5LVI4	3-hydroxybutyryl-CoA dehydrogenase	
